week,mentions_openai,mentions_anthropic
2025-06-30,77,36
2025-07-07,65,19
2025-07-14,65,26
2025-07-21,70,11
2025-07-28,50,18
2025-08-04,124,23
2025-08-11,75,34
2025-08-18,53,19
2025-08-25,88,39
2025-09-01,55,37
2025-09-08,82,35
2025-09-15,63,16
2025-09-22,137,25
2025-09-29,107,25
2025-10-06,96,17
2025-10-13,139,27
2025-10-20,81,31
2025-10-27,162,42
2025-11-03,153,28
2025-11-10,152,68
2025-11-17,137,73
2025-11-24,91,31
2025-12-01,145,56
2025-12-08,217,39
2025-12-15,116,24
2025-12-22,54,12
2025-12-29,51,10
2026-01-05,75,26
2026-01-12,152,53
2026-01-19,99,49
2026-01-26,30,39
